iter	Logloss
0	0.4209897186
1	0.3863451346
2	0.3693506268
3	0.3604279612
4	0.3468433221
5	0.3397293343
6	0.3326244097
7	0.3192898646
8	0.3083670433
9	0.3025149698
10	0.2910360324
11	0.2890860731
12	0.2764253427
13	0.2727915645
14	0.2670173659
15	0.2592462916
16	0.2477129105
17	0.2359716073
18	0.2303939945
19	0.226572514
20	0.2253977436
21	0.2201302264
22	0.2149874937
23	0.2112911807
24	0.2104382349
25	0.2077773893
26	0.2065523947
27	0.2057090384
28	0.2042695444
29	0.2036970462
30	0.2009150925
31	0.1996360155
32	0.198373805
33	0.1951749503
34	0.1944863601
35	0.1922604698
36	0.1914170082
37	0.1890095312
38	0.1881912109
39	0.1872010071
40	0.1850346985
41	0.1840298292
42	0.1833288697
43	0.1824965303
44	0.1816316667
45	0.1812591255
46	0.1812239928
47	0.180614283
48	0.1799974314
49	0.1796228918
50	0.1795654809
51	0.1792450423
52	0.1784071321
53	0.1774281024
54	0.1759481957
55	0.1749841458
56	0.1743547925
57	0.1735979597
58	0.1730699434
59	0.1730029618
60	0.1728740269
61	0.1725201196
62	0.1718121486
63	0.17135787
64	0.171070958
65	0.1706088414
66	0.1703471864
67	0.1702749267
68	0.1702201472
69	0.1699807859
70	0.169869736
71	0.1697087083
72	0.1694647867
73	0.1693591504
74	0.1692727989
75	0.168764639
76	0.1686629642
77	0.168177194
78	0.1680725677
79	0.1679100297
80	0.1675851292
81	0.1673790466
82	0.1671560996
83	0.1669601858
84	0.1667183402
85	0.166563417
86	0.1664865136
87	0.1664280483
88	0.1662860225
89	0.1658930268
90	0.1657839289
91	0.1655925337
92	0.165460197
93	0.1653178149
94	0.1652518223
95	0.1652461743
96	0.1651011172
97	0.1650023188
98	0.164882555
99	0.1647327641
100	0.1645159173
101	0.1644668094
102	0.1643492255
103	0.1642503569
104	0.1641762481
105	0.1641089948
106	0.1640955468
107	0.1640736369
108	0.1639523774
109	0.1638830085
110	0.1636542468
111	0.1635390363
112	0.1634227011
113	0.1633450868
114	0.1632383916
115	0.1629576254
116	0.1628696688
117	0.1628500141
118	0.1627685221
119	0.1626751056
120	0.1625545576
121	0.1624003162
122	0.1623418793
123	0.1622088711
124	0.1621236209
125	0.1619462287
126	0.1618530754
127	0.1617797111
128	0.1617676593
129	0.1616518735
130	0.161556152
131	0.1613995738
132	0.1613187132
133	0.1613188449
134	0.1612618729
135	0.1612140174
136	0.1611120559
137	0.1610662475
138	0.160999423
139	0.1609793405
140	0.1609707901
141	0.1609608355
142	0.1609242651
143	0.1608999906
144	0.1608119893
145	0.1607450313
146	0.1606179255
147	0.1605508617
148	0.1604973581
149	0.1604127148
150	0.1603049749
151	0.1602905923
152	0.1601666594
153	0.1600543801
154	0.160002447
155	0.1599361488
156	0.1598699505
157	0.1598381079
158	0.1597766256
159	0.1597318606
160	0.1597315612
161	0.1597315159
162	0.159715964
163	0.1597156611
164	0.1597159036
165	0.1596987146
166	0.159680247
167	0.1596615562
168	0.1596591423
169	0.1596591895
170	0.1596512461
171	0.1596509889
172	0.159645841
173	0.1596458352
174	0.1596330143
175	0.1595762345
176	0.1595372544
177	0.1595016729
178	0.1594843222
179	0.1594764221
180	0.1593847599
181	0.159341217
182	0.1593048998
183	0.1592926355
184	0.1592928679
185	0.1592885783
186	0.1592881204
187	0.1592850272
188	0.1592532128
189	0.159199904
190	0.1591416354
191	0.1590697353
192	0.1590146348
193	0.1589703879
194	0.1589444113
195	0.1589064475
196	0.1588623079
197	0.1588624617
198	0.1588497325
199	0.1588009584
